"Model","Vehicle","Number Plate"
"Ather 450x","EV 2 wheeler","0203"
"TVS IQUBE","EV 2 wheeler","0383"
"Ather 450x","EV 2 wheeler","0453"
"Ola S1 Pro","EV 2 wheeler","0592"
"Ola S1","EV 2 wheeler","1122"
"Tata Nexon","EV car","1127"
"Epluto 7G","EV 2 wheeler","1264"
"TVS IQUBE","EV 2 wheeler","1455"
"Ather 450x","EV 2 wheeler","1771"
"TVS IQUBE","EV 2 wheeler","1869"
"Poise NX120","EV 2 wheeler","1975"
"Ather 450x","EV 2 wheeler","1977"
"Ather 450x","EV 2 wheeler","2058"
"Ather 450x","EV 2 wheeler","2499"
"Hero Optima","EV 2 wheeler","2508"
"Ola S1 Pro","EV 2 wheeler","2834"
"Ola S1","EV 2 wheeler","2918"
"Ather 450x","EV 2 wheeler","2995"
"Ola S1","EV 2 wheeler","3332"
"Ola S1 Pro","EV 2 wheeler","3333"
"Miscellaneous","EV 2 wheeler","3336"
"TVS IQUBE","EV 2 wheeler","3443"
"Ather 450x","EV 2 wheeler","3814"
"Hero Optima","EV 2 wheeler","3848"
"Epluto 7G","EV 2 wheeler","4221"
"Okinawa Praise pro","EV 2 wheeler","4796"
"Ather 450x","EV 2 wheeler","5010"
"Ather 450x","EV 2 wheeler","5575"
"Ampere Magnus","EV 2 wheeler","5739"
"TVS IQUBE","EV 2 wheeler","5887"
"Mahindra XUV400","EV car","6412"
"Mahindra E20","EV car","6594"
"Ola S1","EV 2 wheeler","6671"
"Ola S1 Pro","EV 2 wheeler","6783"
"Ola S1 Pro","EV 2 wheeler","6903"
"Ather 450x","EV 2 wheeler","6999"
"Ather 450x","EV 2 wheeler","7303"
"Ather 450x","EV 2 wheeler","7306"
"Ather 450x","EV 2 wheeler","7618"
"Ampere Magnus","EV 2 wheeler","7817"
"Ather 450x","EV 2 wheeler","7985"
"Ather 450x","EV 2 wheeler","8035"
"Ather 450x","EV 2 wheeler","8467"
"Ather 450x","EV 2 wheeler","9091"
"TVS IQUBE","EV 2 wheeler","9228"
"Ather 450x","EV 2 wheeler","9397"
"Ather 450x","EV 2 wheeler","9447"
"ADMS GTR","EV 2 wheeler","9669"
"Miscellaneous","EV 2 Wheeler","0000"
"Miscellaneous","EV 2 Wheeler","0000"
"Miscellaneous","EV 2 Wheeler","0000"
"Miscellaneous","EV 2 Wheeler","0000"
"Miscellaneous","EV 2 Wheeler","0000"
"Miscellaneous","EV 2 Wheeler","0000"
"Miscellaneous","EV 2 Wheeler","0000"
"Miscellaneous","EV 2 Wheeler","0000"
"Miscellaneous","EV 2 Wheeler","0000"
"Miscellaneous","EV 2 Wheeler","0000"
"Miscellaneous","EV 2 Wheeler","0000"
